budget,genres,id,production_companies,release_date,release_month,revenue,tagline,title,vote_average,award_noms
20000000,Thriller,8271,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Cold Spring Pictures', 'id': 2363}, {'name': 'Montecito Picture Company, The', 'id': 4607}]",4/12/2007,April,117760134,"The quieter the street, the darker the secrets....",Disturbia,6.6,0
45000000,Adventure,1534,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Dune Entertainment', 'id': 444}, {'name': 'Major Studio Partners', 'id': 445}, {'name': 'Phoenix Pictures', 'id': 11317}]",1/11/2007,January,30822861,"Two Worlds, One War. The Ultimate Battle Begins.",Pathfinder,5.4,0
19000000,Horror,10294,"[{'name': 'Screen Gems', 'id': 3287}, {'name': 'Hal Lieberman Company', 'id': 23890}]",4/20/2007,April,35300645,Once you've checked in... The terror begins.,Vacancy,6,0
10000000,Romance,13067,"[{'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Land Films Inc.', 'id': 3323}, {'name': 'Anonymous Content', 'id': 10039}]",4/16/2007,April,17500000,Get ready to fall,In the Land of Women,5.8,0
25000000,Family,1268,"[{'name': 'Tiger Aspect Productions', 'id': 686}, {'name': 'Working Title Films', 'id': 10163}]",3/22/2007,March,229736344,Disaster has a passport.,Mr. Bean's Holiday,6.1,0
30000000,Crime,9785,"[{'name': 'Spyglass Entertainment', 'id': 158}, {'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Sonet Film AB', 'id': 7937}, {'name': 'Macari/Edelstein', 'id': 24902}, {'name': 'Birnbaum / Barber Productions', 'id': 58262}, {'name': 'Limbo Productions', 'id': 89895}]",4/27/2007,April,26810113,"Life, death and something in between.",The Invisible,6,0
258000000,Fantasy,559,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Laura Ziskin Productions', 'id': 326}, {'name': 'Marvel Enterprises', 'id': 19551}]",5/1/2007,May,890871626,The battle within.,Spider-Man 3,5.9,0
30000000,Comedy,4964,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Apatow Productions', 'id': 10105}]",6/1/2007,June,219076518,Save the due date.,Knocked Up,6.2,0
50000000,Family,2976,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Ingenious Film Partners', 'id': 289}, {'name': 'Offspring Entertainment', 'id': 2378}, {'name': 'Zadan / Meron Productions', 'id': 70994}]",7/13/2007,July,90450008,"When you follow your own beat, the world will follow you.",Hairspray,6.5,0
15000000,Horror,1562,"[{'name': 'DNA Films', 'id': 284}, {'name': 'Figment Films', 'id': 359}, {'name': 'Sociedad General de Cine S.A.', 'id': 785}, {'name': 'UK Film Council', 'id': 2452}, {'name': 'Fox Atomic', 'id': 2890}, {'name': 'Koan Films', 'id': 10890}]",4/26/2007,April,64238440,When days turn to weeks... the horror returns.,28 Weeks Later,6.5,0
160000000,Fantasy,810,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'DreamWorks Animation', 'id': 521}]",5/17/2007,May,798958165,Who's ready for Thirds?,Shrek the Third,6,0
160000,Drama,5723,"[{'name': 'Summit Entertainment', 'id': 491}, {'name': 'Samson Films', 'id': 11571}, {'name': 'RTE', 'id': 25489}]",3/23/2007,March,20710513,How often do you find the right person?,Once,7.4,1
300000000,Adventure,285,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Jerry Bruckheimer Films', 'id': 130}, {'name': 'Second Mate Productions', 'id': 19936}]",5/19/2007,May,961000000,"At the end of the world, the adventure begins.",Pirates of the Caribbean: At World's End,6.9,0
20000000,Drama,3432,"[{'name': 'Tig Productions', 'id': 335}, {'name': 'Eden Rock Media', 'id': 2273}, {'name': 'Element Films', 'id': 2274}, {'name': 'Relativity Media', 'id': 7295}]",6/1/2007,June,41637263,The man who has everything has everything to hide.,Mr. Brooks,6.8,0
9000000,Drama,15568,"[{'name': 'Elevation Filmworks', 'id': 1840}, {'name': 'Ursa Major Films LLC', 'id': 87838}]",6/1/2007,June,2955039,,Gracie,6,0
30000000,Crime,3489,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Nu Image Entertainment', 'id': 713}, {'name': 'Brightlight Pictures', 'id': 1063}]",2/14/2007,February,16930884,He has 88 minutes to solve a murder. His own.,88 Minutes,5.7,0
85000000,Crime,298,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Section Eight', 'id': 129}, {'name': 'Jerry Weintraub Productions', 'id': 2596}, {'name': 'Warner Bros.', 'id': 6194}]",6/7/2007,June,311312624,What are the odds of getting even? 13 to one.,Ocean's Thirteen,6.5,0
10200000,Horror,1691,"[{'name': 'Lions Gate Films', 'id': 35}, {'name': 'Next Entertainment', 'id': 1633}, {'name': 'Screen Gems', 'id': 3287}]",6/8/2007,June,35619521,Americans...they have no imagination.,Hostel: Part II,5.6,0
85000000,Animation,9408,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Sony Pictures Animation', 'id': 2251}]",6/8/2007,June,149044513,"In the coldest place on Earth, he's the hottest thing around.",Surf's Up,5.9,0
130000000,Adventure,1979,"[{'name': 'Ingenious Film Partners', 'id': 289}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': '1492 Pictures', 'id': 436}, {'name': 'Dune Entertainment', 'id': 444}, {'name': 'Constantin Film Produktion', 'id': 5755}, {'name': 'Bernd Eichinger Productions', 'id': 10881}, {'name': 'Marvel Enterprises', 'id': 19551}]",6/13/2007,June,289047763,Discover the secret of the Surfer.,Fantastic 4: Rise of the Silver Surfer,5.4,0
25000000,Action,1991,"[{'name': 'The Weinstein Company', 'id': 308}, {'name': 'Dimension Films', 'id': 7405}, {'name': 'Troublemaker Studios', 'id': 10807}, {'name': 'Rodriguez International Pictures', 'id': 45194}]",5/21/2007,May,25037897,A crash course in revenge,Death Proof,6.7,0
9000000,Documentary,2359,"[{'name': 'The Weinstein Company', 'id': 308}]",5/18/2007,May,24538513,This might hurt a little.,Sicko,7.3,0
16000000,Drama,1988,"[{'name': 'Plan B Entertainment', 'id': 81}, {'name': 'Revolution Films', 'id': 163}, {'name': 'Paramount Vantage', 'id': 838}]",1/1/2007,January,18928871,One woman dared to keep hope alive,A Mighty Heart,6.7,0
25000000,Horror,3021,"[{'name': 'The Weinstein Company', 'id': 308}, {'name': 'Di Bonaventura Pictures', 'id': 435}, {'name': 'Dimension Films', 'id': 7405}]",7/12/2007,July,94679598,The only demons in room 1408 are those within you.,1408,6.5,0
110000000,Action,1571,"[{'name': 'Ingenious Film Partners', 'id': 289}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Dune Entertainment', 'id': 444}, {'name': 'Cheyenne Enterprises', 'id': 890}, {'name': 'Wintergreen Productions', 'id': 11845}]",6/20/2007,June,383531464,The old school cop is back!,Live Free or Die Hard,6.4,0
35000000,Comedy,2959,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Robert Simonds Productions', 'id': 3929}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Phoenix Pictures', 'id': 11317}, {'name': 'Underground', 'id': 49326}, {'name': 'Proposal Productions', 'id': 49327}]",7/4/2007,July,69307224,First came love... then came Reverend Frank.,License to Wed,5.3,0
175000000,Fantasy,2698,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Universal Pictures', 'id': 33}, {'name': 'Spyglass Entertainment', 'id': 158}, {'name': 'Shady Acres Entertainment', 'id': 159}, {'name': 'Original Film', 'id': 333}, {'name': 'Playtone', 'id': 4171}, {'name': 'Relativity Media', 'id': 7295}]",6/9/2007,June,173000000,A comedy of biblical proportions,Evan Almighty,5.3,0
150000000,Adventure,1858,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Di Bonaventura Pictures', 'id': 435}, {'name': 'Platinum Dunes', 'id': 2481}, {'name': 'thinkfilm', 'id': 12247}, {'name': 'SprocketHeads', 'id': 20011}, {'name': 'Hasbro Studios', 'id': 22826}, {'name': 'Revolution Sun Studios', 'id': 76043}]",6/27/2007,June,709709780,Their war. Our world.,Transformers,6.6,0
17000000,Crime,14125,"[{'name': 'Foresight Unlimited', 'id': 21897}, {'name': 'RAMCO', 'id': 24296}, {'name': 'Captivity Productions', 'id': 42829}]",3/9/2007,March,2626800,When You Think The Worst Has Happened... Think Worse,Captivity,4.4,0
150000000,Adventure,675,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Heyday Films', 'id': 7364}]",6/28/2007,June,938212738,Evil Must Be Confronted.,Harry Potter and the Order of the Phoenix,7.4,0
85000000,Comedy,3563,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Happy Madison Productions', 'id': 2608}]",7/12/2007,July,186072214,"They're as straight as can be, but don't tell anyone.",I Now Pronounce You Chuck & Larry,5.8,0
70000000,Adventure,2270,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Ingenious Film Partners', 'id': 289}, {'name': 'Di Bonaventura Pictures', 'id': 435}, {'name': 'Marv Films', 'id': 5374}, {'name': 'Vaughn Productions', 'id': 23420}]",8/9/2007,August,135560026,This Summer A Star Falls. The Chase Begins.,Stardust,7.2,0
75000000,Animation,35,"[{'name': 'Gracie Films', 'id': 18}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]",7/25/2007,July,527068851,See our family. And feel better about yours.,The Simpsons Movie,6.9,0
12000000,Crime,5857,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': '360 Pictures', 'id': 2894}]",7/27/2007,July,9620399,There are two sides to every crime.,I Know Who Killed Me,4,0
28000000,Comedy,3638,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Storefront Pictures', 'id': 7747}, {'name': 'WV Films III', 'id': 12202}]",7/25/2007,July,92601050,Life isn't always made to order.,No Reservations,6.1,0
70000000,Action,2503,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'The Kennedy/Marshall Company', 'id': 862}, {'name': 'Ludlum Entertainment', 'id': 11347}, {'name': 'Motion Picture BETA Produktionsgesellschaft', 'id': 11348}, {'name': 'Bourne Again', 'id': 11349}]",8/3/2007,August,442824138,Remember everything. Forgive nothing.,The Bourne Ultimatum,7.3,3
4000000,Comedy,8141,"[{'name': 'Echo Lake Productions', 'id': 2147}, {'name': 'Bi-polar Pictures', 'id': 2332}, {'name': 'Code Entertainment', 'id': 14589}, {'name': 'Independent Film Group', 'id': 35444}, {'name': 'Carol Baum Productions', 'id': 35445}, {'name': 'Dillinger Productions', 'id': 35446}, {'name': 'Green Tulip Productions', 'id': 35447}]",2/9/2007,February,2426851,Professional alcoholic hit man gets life back on track thanks to her,You Kill Me,6.2,0
20000000,Comedy,8363,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Apatow Productions', 'id': 10105}]",8/17/2007,August,121463226,Come and Get Some!,Superbad,7,0
140000000,Action,5174,"[{'name': 'New Line Cinema', 'id': 12}]",8/8/2007,August,258022233,The Rush Is On!,Rush Hour 3,6.1,0
67000000,Action,9703,"[{'name': 'Ingenious Film Partners', 'id': 289}, {'name': 'Quinta Communications', 'id': 6370}, {'name': 'Dino De Laurentiis Company', 'id': 10308}, {'name': 'Zephyr Films', 'id': 16923}]",4/19/2007,April,25303038,The end of an empire...the beginning of a legend.,The Last Legion,5,0
16500000,Comedy,10760,"[{'name': 'Morgan Creek Productions', 'id': 10210}, {'name': 'Clifford Werber Productions', 'id': 46051}, {'name': 'SW7D Productions', 'id': 46052}]",9/21/2007,September,13620075,Freshman year is no fairytale,Sydney White,6,0
70000000,Thriller,4349,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Forward Pass', 'id': 675}, {'name': 'Relativity Media', 'id': 7295}, {'name': 'FilmWorks', 'id': 7786}, {'name': 'MDBF Zweite Filmgesellschaft', 'id': 12246}]",8/22/2007,August,86658558,How do you stop an enemy who isn't afraid to die?,The Kingdom,6.5,0
6000000,Comedy,14144,"[{'name': 'Revolution Studios', 'id': 497}, {'name': 'TriStar Pictures', 'id': 559}]",8/8/2007,August,18197398,The summer is going to be in tents.,Daddy Day Camp,4.4,0
80000000,Science Fiction,4858,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Vertigo Entertainment', 'id': 829}, {'name': 'Silver Pictures', 'id': 1885}, {'name': 'Warner Bros.', 'id': 6194}]",8/17/2007,August,15071514,Do not trust anyone. Do not show emotion. Do not fall asleep.,The Invasion,5.7,0
25000000,Action,10431,"[{'name': 'Mosaic Media Group', 'id': 748}, {'name': 'Current Entertainment', 'id': 972}, {'name': 'Lionsgate', 'id': 1632}, {'name': 'Fierce Entertainment', 'id': 12138}, {'name': 'Province of British Columbia Production Services Tax Credit', 'id': 12200}, {'name': 'Rogue Films', 'id': 23956}]",8/24/2007,August,40452643,Vengeance is the ultimate weapon.,War,6,0
20000000,Comedy,12435,"[{'name': 'The Weinstein Company', 'id': 308}, {'name': 'FilmColony', 'id': 1811}]",8/24/2007,August,47738099,"A comedy about life at the top, as seen from the bottom.",The Nanny Diaries,6.1,0
15000000,Horror,2082,"[{'name': 'Dimension Films', 'id': 7405}, {'name': 'Spectacle Entertainment Group', 'id': 10370}, {'name': 'Nightfall Productions', 'id': 21438}]",8/31/2007,August,80253908,Evil. Unmasked.,Halloween,5.9,0
20000000,Action,11835,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Dune Entertainment', 'id': 444}, {'name': 'Baldwin Entertainment Group', 'id': 2234}, {'name': 'Hyde Park Entertainment', 'id': 13816}, {'name': 'Brass Hat Films', 'id': 13817}]",8/31/2007,August,16974459,Protect what's yours.,Death Sentence,6.4,0
15000000,Comedy,13501,"[{'name': 'Destination Films', 'id': 769}, {'name': 'Tempesta Films', 'id': 4384}, {'name': 'Good Night Productions', 'id': 4385}]",1/25/2007,January,20380,Dreaming is believing.,The Good Night,5.7,0
55000000,Western,5176,"[{'name': 'Tree Line Films', 'id': 84}, {'name': 'Lionsgate', 'id': 1632}, {'name': 'Relativity Media', 'id': 7295}, {'name': 'Yuma', 'id': 10880}]",9/6/2007,September,70016220,Time waits for one man.,3:10 to Yuma,6.9,0
39000000,Action,4141,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Angry Films', 'id': 12087}]",7/26/2007,July,26820641,Just another family man making a living.,Shoot 'Em Up,6.3,0
30000000,Drama,4347,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Studio Canal', 'id': 5870}, {'name': 'Relativity Media', 'id': 7295}, {'name': 'Working Title Films', 'id': 10163}]",8/29/2007,August,129266061,Torn apart by betrayal. Separated by war. Bound by love.,Atonement,7.4,7
852510,Drama,2009,"[{'name': 'Saga Film', 'id': 859}, {'name': 'Mobra Films', 'id': 5545}, {'name': 'Mindshare Media', 'id': 35020}, {'name': 'Centrul National al Cinematografiei (CNC)', 'id': 69462}, {'name': 'McCann-Erickson', 'id': 73925}, {'name': 'Televiziunea Romana (TVR1)', 'id': 73926}, {'name': 'Hubert Bals Fund of the Rotterdam Festival, The', 'id': 73927}]",8/24/2007,August,1185783,At what moment do we begin to live?,"4 Months, 3 Weeks and 2 Days",7.4,0
2000000,Documentary,12901,[],7/27/2007,July,1431623,The American Occupation of Iraq. The Inside Story From the Ultimate Insiders.,No End in Sight,7.3,0
70000000,Crime,4413,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Silver Pictures', 'id': 1885}, {'name': 'Warner Bros.', 'id': 6194}]",9/14/2007,September,69766619,How many wrongs to make it right?,The Brave One,6.4,0
23000000,History,6973,"[{'name': 'Summit Entertainment', 'id': 491}, {'name': 'Blackfriars Bridge Films', 'id': 2087}, {'name': 'NALA Films', 'id': 2088}, {'name': 'Samuels Media', 'id': 2089}, {'name': 'Warner Independent Pictures (WIP)', 'id': 11509}]",8/31/2007,August,29541790,Sometimes finding the truth is easier than facing it.,In the Valley of Elah,6.6,0
24000000,Comedy,15019,"[{'name': 'Scott Rudin Productions', 'id': 258}, {'name': 'I Could Never Ltd.', 'id': 3587}, {'name': 'Bauer Martinez Studios', 'id': 34999}]",5/11/2007,May,9576495,Find Yourself. In Love.,I Could Never Be Your Woman,5.7,0
4000000,Drama,4629,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Australian Film Finance Corporation', 'id': 1380}]",9/20/2007,September,46474,After that summer nothing would be the same.,December Boys,6.2,0
51500000,Thriller,2252,"[{'name': 'BBC Films', 'id': 288}, {'name': 'Serendipity Point Films', 'id': 805}, {'name': 'T̩l̩film Canada', 'id': 806}, {'name': 'Astral Media', 'id': 2743}, {'name': 'Scion Films', 'id': 7419}, {'name': 'Focus Features', 'id': 10146}, {'name': 'Corus Entertainment', 'id': 11550}, {'name': 'Shine Pictures', 'id': 16880}, {'name': 'Kudos Film and Television', 'id': 20244}]",9/14/2007,September,55112356,Every sin leaves a mark.,Eastern Promises,7.2,0
8000000,Drama,13072,"[{'name': 'City Light Films', 'id': 136}]",4/30/2007,April,458232,Not made to be broken,Brooklyn Rules,5.8,0
22000000,Drama,10425,"[{'name': 'Eclectic pictures', 'id': 8056}, {'name': 'Millennium Films', 'id': 10254}]",7/23/2007,July,413454,"To live a life of his own, he has to die first.",The Death and Life of Bobby Z,5.8,0
45000000,Horror,7737,"[{'name': 'Impact Pictures', 'id': 248}, {'name': 'Davis-Films', 'id': 342}, {'name': 'Constantin Film Produktion', 'id': 5755}, {'name': 'Resident Evil Productions', 'id': 58249}]",9/20/2007,September,148412065,The Extinction Is Coming...,Resident Evil: Extinction,6.1,0
25000000,Comedy,10030,"[{'name': 'Lionsgate', 'id': 1632}, {'name': 'Karz Entertainment', 'id': 4194}, {'name': 'Province of British Columbia Production Services Tax Credit', 'id': 12200}, {'name': 'Milestone Entertainment', 'id': 95343}, {'name': 'Alberta Film Development Program of the Alberta Government', 'id': 95344}, {'name': 'Chuck Productions', 'id': 95345}]",9/21/2007,September,59192128,He has to break his curse before she breaks his heart.,Good Luck Chuck,5.6,0
15000000,Adventure,5915,"[{'name': 'Paramount Vantage', 'id': 838}, {'name': 'River Road Entertainment', 'id': 1246}, {'name': 'Art Linson Productions', 'id': 8769}, {'name': 'Into the Wild', 'id': 41051}]",9/11/2007,September,56255142,Into the heart. Into the soul.,Into the Wild,7.8,0
